Date,Forecast_Value,Best_Case,Worst_Case
2023-03-27,1045.6251456531131,999.5207048986971,1088.919416883818
2023-03-28,1041.3903862508228,994.9602536458954,1086.5675219713607
2023-03-29,1044.7652649034637,1002.4359935470219,1090.565836587778
2023-03-30,1044.094440894154,997.277039730473,1089.0325985963775
2023-03-31,1045.533485330061,1001.2153938770902,1090.3910287421418
2023-04-01,1051.4749410234408,1006.6539548492937,1095.9156233443866
2023-04-02,1048.6205477411415,1006.0769613540004,1095.9098065123737
2023-04-03,1048.6255104770055,1004.7499897243808,1093.2405018064292
2023-04-04,1044.392051981796,999.7587919460764,1088.228562171947
2023-04-05,1047.7058992610682,1003.6437801303618,1094.6768626778908
2023-04-06,1046.9534158811075,1000.6546059811698,1091.9418104640101
2023-04-07,1048.289858099347,1005.0701496453752,1092.018201423738
